text,sentiment
 haha good phone conversation cat lady! You`re gonna be homeless too  you didn`t tell me u were having coffee!! coming tomorrow?,2
pretty good good at this price,2
very good sound quality is lower,0
nice quality is not best,0
slightly disappointed because battery portion is defected,0
i should have run today  but i let my slight aches be a bad excuse    i`ll make it up tomorrow go 5.5,0
great product nice,2
to the doctor  anyone wanna do somethin after for a bit?,1
must buy! loved it,2
not specified not good quality,0
super! just wow,2
"_Deen   looks like a delicious recipe, will try that tonite",2
Thinking bout maddies comments,1
perfect product! its good thnx,2
 PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don`t see anything close anytime soon.,1
very poor damaged product,0
 Jess is invited just not me  I feel really unloved by u AND Aj right now hahaha!,0
just wow! good,2
not specified cloth is ok oknot so good for daily use its okk,1
waste of money! very disappointed with performance,0
fair on loudly not good otherwise good,1
terrific it was awesome,2
the start of my day was finding a lump on my body... went to the hospital... apparently its nothing! fewfffff! bloodtests suck...  haha,1
nice product awesome quality,2
utterly disappointed not working properly,1
terrific purchase nice product,2
 - Woo! Great subject for this month. Now I can use my sparklers,2
recovering from being sick ... anyone want to bring me soup?,2
_yst so u are very burnt  sorry back or front burnt?,0
On way home tonight I saw a newspaper headline `Susan Boyle quits....` surely not true,1
worth the money good ig worth for money,2
wonderful nice product,2
I meant mamas,1
expected a better product bad quality,0
worst experience ever! not bad,2
really nice thomson mixer quality is super and very strong,2
horrible bad product,0
terrific nice product specially glacier blue colour love it all over performance is greatthanks realme,2
hated it! not good,0
really nice nice product,2
nice ok,1
terrific purchase wanderful product,1
does the job long lasting,1
very poor the worst product i have ever purchased in my life after the second use the motor stopped working,0
best in the market! more and more very useful if your a juices favourit,2
no Santa cruz for me  but I do have an interview at jamba tomorrow morning (:,1
worth every penny had the machine deliverd on friday by flipkart as promisedhappy with the delivery but heres where flipkart lost the plot till wednesday they could not arrange for a demo and installation despite repeated reminders all they could come up with were requests for more time finally decided to call siemens on my own and was surprised to know that they had not received any communication from flipkart siemens sent a technician within 4 hours of the call now for the machine i have been usin,0
 D= indeed,1
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,0
_phillips She says yes  shall we say 6:30?,1
terrific reyaly use full,1
does the job it is making a lot of noise,1
waste of money! worst worst,0
good choice wonderful design with excellent performance,2
must buy! nice product,2
wonderful very nice,2
good choice really good packing and nice equipmentarrived before due date thumbs up for that,2
just okay average,1
good honest review if you aare going for this laptop there is a one major problembuild quality of laptop is worse you can even sense when you hold the laptopyeah some peoplemwill say that is gives flexibility and anyother stuff i have been using this laptop since 9months i suggest go for acer or pay more and go for asus best build quality and gives you best look and performancedefinately go for asus,2
moderate not good,0
" LMAO shush. with my illness comes the joys of multiple mouth ulcers, and i think they are coming back  they JUST healed",0
decent product average product not very good,0
perfect product! very good,2
worthless waste,0
